title,ean,iwasku,fiyat,ham_maliyet_euro,ham_maliyet_usd,desi,tr_ne_navlun,ne_de_navlun,kara_tr_de_navlun,express_kargo,ddp,hava_tr_de_navlun,reklam
CA-041 Yeni Dünya Haritası 3D – İngilizce – FULL M-100cm Mixed,8684089412149,CA041C0A8DWG,"€69,00","12,17","€13,14",2,"€4,63","€7,24","€11,87","€13,51","€5,00","€18,51","€5,25"
CA-041 Yeni Dünya Haritası 3D – İngilizce – FULL L-150cm Mixed,8684089412019,CA041C020Y5P,"€89,90","14,41","€15,56",4,"€7,04","€7,24","€14,28","€16,10","€5,00","€21,10","€5,25"
AHM-008 Murphy Katlanır Masa Standart MDF Brown,8684089407145,AHM0080JCDG6,"€149,00","26,12","€28,21",15,"€19,90","€7,24","€27,14","€68,79","€5,00","€73,79","€5,25"
AHM-008 Murphy Katlanır Masa Standart MDF White,8684089407152,AHM0080CJYJQ,"€149,00","26,12","€28,21",15,"€19,90","€7,24","€27,14","€68,79","€5,00","€73,79","€5,25"
DS-002 Strafor Tuğla Desenli 9 adet Babylon,8684089411760,DS002009CZ36,"€180,00","31,5","€34,02",25,"€32,19","€7,24","€39,43","€95,05","€5,00","€100,05","€5,25"
CA-041 Yeni Dünya Haritası 3D – İngilizce – FULL XL-200cm Mixed,8684089400603,CA041C0RZ7WV,"€119,00","20,96","€22,64",6,"€9,73","€7,24","€16,97","€28,75","€5,00","€33,75","€5,25"
AHM-047 Floating Nightstand Standart Spruce White,8684089407190,AHM0470G49P7,"€85,00","12,81","€13,83","3,5","€6,32","€7,24","€13,56","€16,10","€5,00","€21,10","€5,25"
AHM-047 Floating Nightstand Standart Walnut Black,8684089407183,AHM0470TZC22,"€85,00","12,81","€13,83","3,5","€6,57","€7,24","€13,81","€16,10","€5,00","€21,10","€5,25"
DS-013 Travarten 2'li Yuvarlak Zigon TekEbat Tek Renk,8684089478831,DS01300W4PNQ,"€94,90","12,61","€13,62","3,5","€7,39","€7,24","€14,63","€16,10","€5,00","€21,10","€5,25"
DS-017 Gold Ayaklı Yuvarlak Zigon Small Black -2'li,8684089478855,DS01700FBCQK,"€85,00","6,87","€7,42",5,"€8,11","€7,24","€15,35","€28,75","€5,00","€33,75","€5,25"
DS-017 Gold Ayaklı Yuvarlak Zigon Small White -2'li,8684089478862,DS01700HFNY6,"€85,00","6,87","€7,42",5,"€8,11","€7,24","€15,35","€28,75","€5,00","€33,75","€5,25"
KUL-003 SPW Style İsimlikli Beşgen Köpek Kulubesi Medium Black-Brown,8684089412385,KUL0030VKQFG,"€362,00","51,78","€55,92",19,"€26,19","€7,24","€33,43","€79,30","€5,00","€84,30","€5,25"
CA-041 Yeni Dünya Haritası 3D – İngilizce – FULL M-100cm Light Brown,8684089412040,CA041C0WBTX6,"€69,00","€12,17","€13,14",2,"€10,04","€7,24","€17,28","€13,51","€5,00","€18,51","€5,25"
CA-120 3D Dünya Haritası UV Baskı 180x125cm Navy,8684089414198,CA12000NJ4PE,"€159,90","€36,69","€39,63",6,"€9,73","€7,24","€16,97","€28,75","€5,00","€33,75","€5,25"
CA-120 3D Dünya Haritası UV Baskı 240x150cm Crimson,8684089414167,CA1200079C8Z,"€209,90","€56,69","€61,23",8,"€7,60","€7,24","€14,84","€28,75","€5,00","€33,75","€5,25"
CA-120 3D Dünya Haritası UV Baskı 120x75cm Sage,8684089414266,CA12000VQ599,"€99,90","€21,46","€23,18",3,"€5,71","€7,24","€12,95","€16,10","€5,00","€21,10","€5,25"
CA-120 3D Dünya Haritası UV Baskı 180x125cm Soil,8684089470293,CA120002MWQ7,"€159,90","€36,69","€39,63",6,"€9,73","€7,24","€16,97","€28,75","€5,00","€33,75","€5,25"
CA-120 3D Dünya Haritası UV Baskı 240x150cm Terracotta,8684089414327,CA120004NXB5,"€209,90","€56,69","€61,23",8,"€11,96","€7,24","€19,20","€28,75","€5,00","€33,75","€5,25"
CA-120 3D Dünya Haritası UV Baskı 120x75cm Terracotta,8684089414303,CA12000KS5Z7,"€99,90","€21,46","€23,18",3,"€5,71","€7,24","€12,95","€16,10","€5,00","€21,10","€5,25"
CA-120 3D Dünya Haritası UV Baskı 240x150cm Nimbus,8684089414242,CA12000R53ZY,"€209,90","€56,69","€61,23",8,"€11,96","€7,24","€19,20","€28,75","€5,00","€33,75","€5,25"
CA-120 3D Dünya Haritası UV Baskı 240x150cm Soil,8684089470309,CA12000PXQSF,"€209,90","€56,69","€61,23",8,"€7,60","€7,24","€14,84","€28,75","€5,00","€33,75","€5,25"
CA-120 3D Dünya Haritası UV Baskı 180x125cm Sage,8684089414273,CA12000X96RP,"€159,90","€36,69","€39,63",6,"€9,73","€7,24","€16,97","€28,75","€5,00","€33,75","€5,25"
CA-120 3D Dünya Haritası UV Baskı 120x75cm Navy,8684089414181,CA120006V3PY,"€99,90","€21,46","€23,18",3,"€5,71","€7,24","€12,95","€16,10","€5,00","€21,10","€5,25"
CA-120 3D Dünya Haritası UV Baskı 120x75cm Soil,8684089470286,CA12000ZJ826,"€99,90","€21,46","€23,18",3,"€5,71","€7,24","€12,95","€16,10","€5,00","€21,10","€5,25"
CA-120 3D Dünya Haritası UV Baskı 240x150cm Sage,8684089414280,CA120000PMVY,"€209,90","€56,69","€61,23",8,"€7,60","€7,24","€14,84","€28,75","€5,00","€33,75","€5,25"
CA-120 3D Dünya Haritası UV Baskı 240x150cm Navy,8684089414204,CA12000JPYJA,"€209,90","€56,69","€61,23",8,"€11,96","€7,24","€19,20","€28,75","€5,00","€33,75","€5,25"
CA-120 3D Dünya Haritası UV Baskı 180x125cm Terracotta,8684089414310,CA12000V2ZCF,"€159,90","€36,69","€39,63",6,"€9,73","€7,24","€16,97","€28,75","€5,00","€33,75","€5,25"
DS-014 Traverten 2'li Kare Zigon Small Traverten,8684089478879,DS01400VS84T,"€94,90","€19,39","€20,94","5,5","€9,29","€7,24","€16,53","€28,75","€5,00","€33,75","€5,25"
DS-024 Strafor Buz Taşı Desenli 9lu Amber,8684089483996,DS024009XJDP,"€179,90","€31,50","€34,02",25,"€32,19","€7,24","€39,43","€95,05","€5,00","€100,05","€5,25"
DS-024 Strafor Buz Taşı Desenli 9lu Arctic,8684089484009,DS02400HD10C,"€179,90","€31,50","€34,02",25,"€32,19","€7,24","€39,43","€95,05","€5,00","€100,05","€5,25"
DS-024 Strafor Buz Taşı Desenli 9lu Canyon,8684089484016,DS024000H1VQ,"€179,90","€31,50","€34,02",25,"€32,19","€7,24","€39,43","€95,05","€5,00","€100,05","€5,25"
DS-024 Strafor Buz Taşı Desenli 9lu Sahara,8684089484023,DS02400QJM6M,"€179,90","€31,50","€34,02",25,"€32,19","€7,24","€39,43","€95,05","€5,00","€100,05","€5,25"
CA-041 Yeni Dünya Haritası 3D – İngilizce – FULL L-150cm Light Brown,8684089412057,CA041C0YCQPS,"€99,90","€16,12","€17,41",4,"€7,04","€7,24","€14,28","€16,10","€5,00","€21,10","€5,25"
"CA-120 3D Dünya Haritası UV Baskı 300x187,5cm Nimbus",8684089414259,CA12000S2JZG,"€169,90","€84,41","€91,16",12,"€11,40","€7,24","€18,64","€60,92","€5,00","€65,92","€5,25"
CA-120 3D Dünya Haritası UV Baskı 120x75cm Nimbus,8684089414228,CA120008PMZM,"€99,90","€21,46","€23,18",3,"€5,71","€7,24","€12,95","€16,10","€5,00","€21,10","€5,25"
CA-120 3D Dünya Haritası UV Baskı 120x75cm Crimson,8684089414143,CA12000FCHTN,"€99,00","€21,46","€23,18",3,"€5,71","€7,24","€12,95","€16,10","€5,00","€21,10","€5,25"
CA-122 İngilizce Avrupa Haritası UV Baskı 100x75cm Crimson,8684089470224,CA122008ACGY,"€99,90","€18,92","€20,43",3,"€2,85","€7,24","€10,09","€16,10","€5,00","€21,10","€5,25"
CA-120 3D Dünya Haritası UV Baskı 180x125cm Nimbus,8684089414235,CA120000FSWX,"€159,90","€36,69","€39,63",6,"€9,73","€7,24","€16,97","€28,75","€5,00","€33,75","€5,25"
CA-120 3D Dünya Haritası UV Baskı 180x125cm Crimson,8684089414150,CA12000TVXJ7,"€159,90","€36,69","€39,63",6,"€9,73","€7,24","€16,97","€28,75","€5,00","€33,75","€5,25"
CA-122 İngilizce Avrupa Haritası UV Baskı 100x75cm Sage,8684089470248,CA12200CTBEQ,"€99,90","€18,92","€20,43",3,"€2,85","€7,24","€10,09","€16,10","€5,00","€21,10","€5,25"
